src,trg
Es hat sich als das längste Wesen im Meer erwiesen.,This turns out to be the longest creature in the oceans.
"Er zeigt, wie man Gutes tut, wie man heldenhaft unangenehm sein kann.","It shows how to do right, how to be heroically awkward."
Also heben Sie nochmals Ihre Arme und beugen Sie Ihren Bizeps.,So put your arms back up and flex your bicep.
"Es ist ja ganz angenehm, in eine kleine Klasse zu kommen.","You know, it's very pleasant to walk into a small class."
"Sobald also die Krabbe sie berührt, ziehen sie sich in ihre Schalen zurück, so wie Fingernägel.","So, as soon as a crab touches them, they retract down into their shells, just like your fingernails."
"Sie sagten mir erstens, sie hätten das richtige Modell vom Patienten -- daß sie wüßten, was das Richtige sei um den Schmerz gering zu halten -- Und dann sagten sie mir, die Bedeutung des Wortes ""Patient"" habe nichts damit zu tun, Ratschläge zu geben, oder sich einzumischen, oder...",They told me that they had the right model of the patient -- that they knew what was the right thing to do to minimize my pain -- and they also told me that the word patient doesn't mean to make suggestions or to interfere or ...
"In den 90er Jahren an 13. Stelle, und das nicht wegen eines sinkenden Niveaus, sondern weil das Niveau anderswo schneller angestiegen ist.","In the '90s, it was 13th, and not because standards had fallen, but because they had risen so much faster elsewhere."
"Und deshalb gründeten wir 2006 FILMCLUB, eine Organisation, die wöchentlich Filme in Schulen vorführte und anschließend diskutierte.","And so in 2006 we set up FILMCLUB, an organization that ran weekly film screenings in schools followed by discussions."
"Jeder Schüler weiß, worauf es ankommt.",Every student knows what matters.
"Ich werde dich lassen, Entscheidungen zu treffen. Ich werde dich ermächtigen. Ich werde delegieren bis zur niedrigsten Stufe meiner Firma, nicht nur zur höchsten.","I'm going to let you make decisions. I'm going to empower you, and I'm going to delegate to the lowest level, rather than the top."
"Wirklich, richtig ernst zu sein.","To be really, really serious."
"Diese zwei Länder geben ihr Geld also ganz unterschiedlich aus. Wofür sie ihr Geld ausgeben, ist weitaus entscheidender, als die Menge des für Bildung ausgegebenen Geldes.","So you can see two countries spent their money very differently, and actually how they spent their money matters a lot more than how much they invest in education."
"Diese jungen. nachdenklichen, eigensinnigen und neugierigen Menschen stellen sich jetzt jeder Art von Film – schwarz-weiß, mit Untertiteln, Dokumentarfilme, nicht-narrativ, Fantasy – und schreiben anstandslos detaillierte Rezensionen, die sich beim Lobpreisen der Filme in leidenschaftlicher immer raffinierterer Prosa gegenseitig übertreffen.","By now, these thoughtful, opinionated, curious young people thought nothing of tackling films of all forms -- black and white, subtitled, documentary, non-narrative, fantasy -- and thought nothing of writing detailed reviews that competed to favor one film over another in passionate and increasingly sophisticated prose."
"Marcel Proust hat einmal gesagt: ""Die wahre Entdeckungsreise besteht nicht darin, dass man neue Länder sucht, sondern dass man neue Augen hat.""","Marcel Proust said, ""The true voyage of discovery is not so much in seeking new landscapes as in having new eyes."""
"Es gibt nichts Besonderes in den Bulgaren, das sie vom Spielen abhält, abgesehen von dem seriösen Meme, das wir rausschmeißen sollen.","There's nothing weird about Bulgarians that we can't play, besides the serious meme that we have to kick out."
Wir halten uns zurück.,We hold ourselves back.
"Aber wir müssen uns daran erinnern, dass Großmutter seit 45 Jahren mit dem seriösen Gen infiziert ist.",But we need to remember that baba's been infected by the serious meme for 45 years.
"Aber wer glauben Sie, ist der grösste Spieler mit dem grössten Gehirn?",But who do you think with the biggest brains are the biggest players?
"Wenn ich dann damit fertig war die Leute zu quälen, habe ich sie gefragt: ""Wie schmerzhaft war das? Oder das?""","And when I finished hurting people a little bit, I would ask them, so, how painful was this? Or, how painful was this?"
Die Filme lieferten Gemeinschaftlichkeit über alle Kluften.,The films provided communality across all manner of divide.
"Ist es lustig, spielerisch da?",Is it fun? Is it playful?
"Nun stellen Sie sich vor, Sie können bald in Ihren Verstand sehen und Gehirnbereiche herauslesen, die genau diese Sache ausführen.",Now imagine that you will soon be able to look inside your brain and select brain areas to do that same thing.
"Das kann nicht sein, nur wegen des Spielens.",It can't be because of play.
Das ist sehr vielversprechend.,This is very promising.
Wir sind auf dem letzten Platz in Europa im Bereich der Innovation.,We're last place in Europe in innovation.
"Und ich zeige Ihnen noch eine letzte Demonstration, aber zuerst möchte ich mich bedanken, und: Immer schön klein denken.","And I'm going to leave you with one last demonstration, but before I do that, I would like to say thank you, and think small."
Es geht hier also um superkleine Dinge.,And we're talking really small here.
"Während sie dies machen, ist oben links eine Anzeige, die verbunden ist mit den Gehirnregungen, die ihren eigenen Schmerz regeln.","As they do it, in the upper left is a display that's yoked to their brain activation of their own pain being controlled."
"Vielleicht ist es ja so, daß es eine gewisse Schummelgrenze gibt die wir nicht übertreten wollen, während wir trotzdem gerne von kleinen Betrügereien profitieren solange diese unser Selbstbild nicht verschlechtern.","So, maybe what is happening is that there's a level of cheating we can't go over, but we can still benefit from cheating at a low degree, as long as it doesn't change our impressions about ourselves."
"Und es gibt zehntausende von Bergen hier draußen, die auf keiner Karte verzeichnet sind.",And there's tens of thousands of those mountains out there that haven't been mapped yet.
Sie fangen sie nicht mit einem Netz.,They don't catch them in a net.
Aber so ist es nicht.,But that's not what you see.
"So sie sind einschränkend -- benutze nicht dein Handy, benutze nicht dein Laptop, surfe nicht in Internet, sei nicht im I.M.","So they're restrictive -- don't use your mobile phone, don't use your laptop, don't search the Internet, don't be on I.M."
"Und wir kamen auf die Idee, daß es ja vielleicht zwei Kräfte gibt.",And we thought maybe what is happening is that there are two forces.
"Neu ist, dass dieser Vorgang üblicherweise Tage oder Monate der Analyse benötigte.",What's new is that that process has typically taken days or months of analysis.
"Das sind alles einzelne Lebewesen, die sich zu diesem einen Organismus zusammenschließen.",These are all individual animals banding together to make this one creature.
Und all diese Seiten wurden von weiteren mehr als 400 Wissenschaftlern und Gutachtern aus 113 Ländern korrigiert.,"And all of those pages were reviewed by another 400-plus scientists and reviewers, from 113 countries."
Das Konzept der Bestandsbewahrung ist zwecklos.,The concept of preservation is futile.
In anderen Ländern kommt es viel weniger auf das soziale Umfeld der Kinder an.,We see in other countries that it matters much less into which social context you're born.
"Die Ironie ist fühlbar; der Zugang zu Technik war nie größer, der Zugang zu Kultur nie schwächer.","The irony is palpable; technical access has never been greater, cultural access never weaker."
"Und die Geschwindigkeit, mit der sie ihn ""Slumdog Millionaire"" oder den Favelas in Rio zuordnen, spricht von der nachhaltigen Art.","And the speed with which they associate it with ""Slumdog Millionaire"" or the favelas in Rio speaks to the enduring nature."
Eine imprägnierte Windschutzscheibe erhöht das auf 110°.,A windshield coating is going to give you about 110 degrees.
"Der Bildung hohen Wert beizumessen, ist nur ein Teil der Geschichte.",But placing a high value on education is just part of the picture.
Wir nennen das den persönlichen Schummelfaktor.,We call this like a personal fudge factor.
"Man würde nie die Erlaubnis bekommen, das im Meer zu verklappen, und es kommt doch alles selbst aus dem Meer.","You could never get a permit to dump this in the ocean, and it's coming out all from it."
Es ist genau wie Musik – es ist wirklich genau wie Musik.,It's just like music -- it really is just like music.
"So, es funktioniert, und es kann hier in Bulgarien funktionieren.","It does, and it can, work in Bulgaria."
"Ja, diese Länder existieren.",Those things really exist.
Unabhängige Auswertung von anonymen Arbeitnehmern in den Umfragen.,Independent analysis from anonymous employees on their surveys.
"entdecken Sie es neu. Weil Sie die Führungspersönlichkeiten sind, die Innovationsanführer sind, die Master der Ideen sind.","Rediscover that because you're the leaders, the innovation leaders, the thought leaders."
"Warum soll ich mich kümmern, ob du um neun Uhr kommst?",Why do I care if you get in at nine o'clock?
"Sie sollen das machen, weil falls Sie das nicht fühlen, Ihre Kollegen, Angestellten werden es auch nicht fühlen.","You guys have to, and if you're not feeling it, your colleagues, your employees, aren't going to feel it."
Kleinere Tiere kriechen herum.,There are smaller animals crawling around.
"Einige unserer Kinder begannen mit ihren Eltern zu reden, andere mit ihren Lehrern oder mit ihren Freunden.","Some of our kids started talking with their parents, others with their teachers, or with their friends."
"also zum Beispiel Vereisungsschutz, denn ohne Wasser gibt es kein Eis.","It could be anything that's anti-icing, because if you don't have water, you don't have ice."
"Porös, nicht porös.","Porous, nonporous."
"Manche Schritte, die wir machen können -- am Ende -- um diese Revolution durch Spielen schaffen zu können.",So some steps that we can take -- to finish up -- how to make this revolution through play.
Das sind alles Garnelen.,Those are all shrimp.
"Nanotechnologie wird in Nanometern gemessen, also ein Milliardstel Meter. Setzen wir das in einen Maßstab, nehmen wir einen Nanopartikel mit einem Nanometer Dicke und legen 50.000 davon nebeneinander, hätten wir die Dicke eines menschlichen Haars.","The way you measure nanotechnology is in nanometers, and one nanometer is a billionth of a meter, and to put some scale to that, if you had a nanoparticle that was one nanometer thick, and you put it side by side, and you had 50,000 of them, you'd be the width of a human hair."
Wir spielen Musikinstrumente.,We play musical instruments.
"Am Anfang hatte ich nicht viel Geld, also ging ich in einen Werkzeugladen und kaufte mir einen Schraubstock.","So originally I didn't have much money, so I went to a hardware store and I bought a carpenter's vice."
"DG: Ich finde, eine der größten Geschichten, die wir gerade auf dem Meeresgrund entdecken, ist, dass das Erste, das wir nach einem Vulkanausbruch am Meeresboden wieder finden, Bakterien sind.","DG: I think that's one of the greatest stories right now that we're seeing from the bottom of the sea, is that the first thing we see coming out of the sea floor after a volcanic eruption is bacteria."
Und jedes dieser 11 Kapitel der IPCC hat sechs bis zehn Unterkapitel.,And each one of the 11 chapters of the IPCC has six to ten subsections.
"Das ist keine Fiktion, kein Märchen, keine Phantasie; es ist unempfindliche, scharfe Wissenschaft.","It's not fiction, it's not story tales, it's not make-believe; it's cold, hard science."
"Gott bewahre,dass ich meine Kinder im Schlamm spielen lasse, oder sogar in Pfützen, Wasser, das wird sie töten.","Heaven forbid they play in the dirt, the kal, or even worse, lokvi, water -- that will kill them."
"So in Zusammenfassung, wir brauchen einen durchgreifenden Wandel in unserem Denken und Verhalten, aber wir brauchen keine Revolution der Angestellten.","So in summary, we need a drastic change in the way we think and behave, but we don't need a workers' revolution."
Und das ist ein Männchen.,And here's a male.
"Max Westerman: Geert Chatrou, der Weltmeister im Pfeifen.","Max Westerman: Geert Chatrou, the World Champion [of] Whistling."
"Und Sie sehen, wie dicht das Leben hier ist.",And you can see how dense the population is.
"Was wir bisher gesehen haben, war aus dem Pazifik.",What we saw up till now was from the Pacific.
Das ist ein vulkanischer Rücken.,This is a volcanic ridge.
"Kein Wasser, keine Korrosion.","No water, no corrosion."
"Und nach den fünf Minuten habe ich gesagt: ""Zerreissen sie Ihr Arbeitsblatt,","When the five minutes were over, I would say, ""Please shred the piece of paper."
"Sie dachte nicht, dass ich hinfahre.",She didn't expect me to go there.
"DG: Es funktioniert zu gut. Sie sehen, dass es hier drinnen auch Fische gibt.",DG: It works too well. You see there're some fish inside here as well.
"Und wenn sie läuft, geb ich Ihnen ein Zeichen für Ihren Einsatz, und dann sehen wir einfach, was passiert.","And if it's started, I just point where you whistle along, and we will see what happens."
Man weiß sehr wenig über sie.,They're very little understood.
Das ist eine dieser hydrothermalen Quellen.,This is one of these hydrothermal vents.
300 Grad heißes Wasser tritt aus der Erde.,Six hundred degree F water coming out of the Earth.
"Kinder spielen, wir spielen -- Menschen aller Nationalitäten, aller Rassen, aller Farben, aller Religionen,","Kids play, we play -- of every nationality, of every race, of every color, of every religion."
Sie sind über anhaltende Zeiträume hinweg kohärent und werden konsequent umgesetzt.,"They make them coherent over sustained periods of time, and they ensure that what they do is consistently implemented."
"Puristen denken vielleicht, dass Fiktion die Suche nach echtem menschlichen Verständnis zerstreut, dass Film zu grob ist, um eine komplexe und detaillierte Geschichte erzählen, oder dass Filmemacher immer Drama über die Wahrheit stellen.","Purists may feel that fiction dissipates the quest of real human understanding, that film is too crude to tell a complex and detailed history, or that filmmakers always serve drama over truth."
Chancen sind ungleich verteilt.,Opportunities are unequally distributed.
"Ich glaube wir sind auf dem letzten Platz, weil -- und das wird unangenehm für einige von euch -- weil wir uns selbst behindern.",I think we're last because -- and this is going to be drastic to some of you -- because we are handicapping ourselves.
"Falls Sie mir nicht glauben, dann gehen Sie zu Hause und denken Sie noch eine Weile darüber oder über was anderes.","If you don't believe me, well just go home and think about it some more or something."
Darauf sagten die Schwestern mir zwei Dinge.,And the nurses told me two things.
"Aber wenn sie spielen, lernen sie die Regeln der Gesellschaft und die Dynamik der Dinge.","But when they're playing, they're learning the social order and dynamics of things."
"Und wir werden Dinge machen, wie zum Beispiel Einschränkungen eliminieren.",And we're going to do things like eliminate restrictions.
Das hier sind Röhrenwürmer.,These are called tube worms.
"Die bittere Wahrheit ist, dass sie nur in wenigen Ländern besser geworden ist.","And the bitter truth really is that, you know, not in many countries."
"Unter anderem versuchen wir mit unseren Partnern bei Woods Hole, diese virtuelle Welt – diese Welt, dieses unerforschte Gebiet – ins Labor zu holen.","One of the things we're trying to do at Woods Hole with our partners is to bring this virtual world -- this world, this unexplored region -- back to the laboratory."
"Schon bald werden Sie in ihr Gehirn sehen können, die hunderte Gehirnbereiche zu programmieren, zu steuern, die Sie dort sehen.","Soon, you'll be able to look inside your brain and program, control the hundreds of brain areas that you see there."
"Wenn Sie dies machen, was werden Sie kontrollieren wollen?","When you do, what do you want to control?"
"Ist das alles und nichts mehr?""","Is that all there was?"""
"Das ist übrigens nicht nur im Hebräischen so,","This is not just in Hebrew, by the way."
Und Entscheidungsträger haben darauf reagiert.,And then policymakers began to respond to this.
Ich bin das schon so gewohnt.,I'm so used to that.
Ist es empfindlich? Ja.,Is it sensitive? Yes.
"Obwohl die Zahlen außergewöhnlich waren und es weiterhin sind, noch außergewöhnlicher wurde die Übertragung der Erfahrung des kritischen und neugierigen Fragens in den Alltag.","And although the numbers were, and continue to be, extraordinary, what became more extraordinary was how the experience of critical and curious questioning translated into life."
"Aber für meinen Vater war die emotionale und künstlerische Bedeutung von De Sicas Vision so groß, dass er beschloss, seinen 50. Geburtstag mit seinen drei Kindern im Teenageralter und 30 ihrer Freunde zu feiern. ""Um"", sagte er, ""die Verantwortung über Sorgen und Hoffnung an die nächste Generation weiterzugeben.""","But for my father, the emotional and artistic importance of De Sica's vision was so great that he chose to celebrate his half-century with his three teenage children and 30 of their friends, ""In order,"" he said, ""to pass the baton of concern and hope on to the next generation."""
"""Citizen Kane"" sollte so wertvoll sein wie Jane Austen.","Consider ""Citizen Kane"" as valuable as Jane Austen."
Er kann diese 65.000 Erregerpunkte pro Sekunde betrachten.,"He can look at these 65,000 points of activation per second."
Der rote Punkt gibt die prozentualen Ausgaben eines Landes pro Schüler an.,The red dot shows you spending per student relative to a country's wealth.
Wir sind programmiert das ständig zu machen -- zu spielen und sehr viel zu spielen und nicht aufhören zu spielen.,We're designed to do that continuously -- to play and play a lot and not stop playing.
Und das sah so aus.,And here's how it went.
"Und falls wir uns selbst mit Spielen behindern, wir behindern uns, als ob wir jedes andere Geburtsrecht, die wir haben, behindern.","And if we handicap ourselves with play, we handicap ourselves as if we would with any other birthright that we have."
"Wenn man sich nur auf die schlausten Schüler konzentriert, teilt sich der Graben weiter. Der Kreis bewegt sich ganz leicht in die andere Richtung, aber die Verbesserung ist dennoch enorm.","Well, if you only focus on your brightest students, you know what happens is disparities grow, and you can see this bubble moving slightly to the other direction, but still, an impressive improvement."
Wir hatten einen minimalen Gewinn. Ich hatte auch.,We had marginal profit -- I did.
"Und zwei Wochen später bekam ich eine SMS: ""Du fährst nach Amerika.""","And two weeks later I received a text message: ""You're going to America."""
"Wir konnten aber nicht die messbaren Verbesserungen im Verhalten, im Selbstvertrauen und in der akademischen Leistung vorhersehen.","What we could not have foreseen was the measurable improvements in behavior, confidence and academic achievement."
"Oh, ah ja,","Oh, hah."
"Jeder Schüler weiß, was für den Erfolg nötig ist.",Every student knows what's required to be successful.
Es ist sehr trostlos.,It's pretty bleak.
Viel Potential von Kindern wird verschwendet.,A lot of potential of young children is wasted.
"Aber abseits seines kleinen Gewichts, wird genug von ihm jedes Jahr in die Atmosphäre entlassen um das Gewicht aller Menschen auf dem Planeten aufzuwiegen.","But despite its very small weight, enough of it is emitted into the atmosphere every year to equal the weight of all the people on the planet."
"Diese Druckverhältnisse finde ich wirklich erstaunlich, dass diese Tiere in einer Tiefe existieren können, bei einem Druck, der groß genug ist, um die Titanic wie eine leere Coladose zu zerquetschen.",This pressure thing really amazes me -- that these animals can exist there at a depth with pressure enough to crush the Titanic like an empty Pepsi can.
"Mit dem Filmarchiv der letzten 100 Jahre könnten wir vielleicht eine Geschichte schaffen, die der zerstückelten und unruhigen Welt der Jugend Sinn geben würde.","If we could raid the annals of 100 years of film, maybe we could build a narrative that would deliver meaning to the fragmented and restless world of the young."
"Nicht die Bären, die besser zu fischen gelernt haben.",It's not the bears that learn how to fish better.
Anderseits könnten wir ein klein wenig schummeln und uns immer noch gut fühlen.,"On the other hand, we can cheat a little bit, and still feel good about ourselves."
Die Bundesregierung erhöhte die Bildungsausgaben drastisch.,The federal government dramatically raised its investment in education.
Wieder haben viele Leute nur ein klein wenig betrogen ohne sich dabei um die ökonomischen Anreize zu kümmern.,"Again, a lot of people cheated by just by a little bit, and they were insensitive to these economic incentives."
Menschen. Wir spielen Sport.,Humans. We play sports.
Sie klammern sich an einen Fels und kratzen Bakterien von diesem Fels ab.,They're clinging to a rock face and actually scraping bacteria off that rock face.
"Wenn wir Schüler in Nordamerika fragen, was für den Erfolg in Mathematik entscheidend ist, antworten sie in der Regel, dass alles von der Begabung abhängt.","When we asked students what counts for success in mathematics, students in North America would typically tell us, you know, it's all about talent."
"Was wir also lernen müssen, ist herauszufinden, wohin unser Planet treibt, in all seinen verschiedenen Bereichen, und uns darauf einzustellen","So, what we've got to learn now is to find out where this planet's going at all these different scales and work with it."
"Gehen wir einen Schritt zurück und konzentrieren uns auf die Länder, in denen PISA anfing – sie sind jetzt mit einem bunten Kreis markiert.","But let's step back for a moment and focus on the countries that actually started PISA, and I'm giving them a colored bubble now."
"Man könnte annehmen, daß, sobald die Summen höher wurden auch mehr betrogen wurde - aber dem war nicht so.","You would expect that as the amount of money on the table increases, people would cheat more, but in fact it wasn't the case."
Gehen wir zurück zu diesen Bereichen in der Geschichte,Let's go back to the same three areas.
[Zwei Minuten später ...] Er war bei der medizinischen Forschung mit einem Haufen Probleme konfrontiert.,[Two minutes later...] He ran into all sorts of problems in terms of managing the medical research part.
"Und die ohne Freunde fingen an, welche zu finden.",And those without friends started making them.
Es wird bis zu 50 Meter lang.,It gets up to about 150 feet long.
"Aus 25 Vereinen wurden Hunderte, dann Tausende, bis wir fast eine Viertelmillion Kinder in 7 000 Vereinen aus dem ganzen Land waren.","From 25 clubs, we became hundreds, then thousands, until we were nearly a quarter of a million kids in 7,000 clubs right across the country."
Sie brauchen die Sonne überhaupt nicht.,They don't need the sun at all.
"Und erst mit 34 Jahren, hab ich andere Menschen mit meiner Pfeiferei verägert und irritiert. Denn, um ehrlich zu sein, mein Pfeifen ist eine Art Verhaltensauffälligkeit.","And actually, till I was 34, I always annoyed and irritated people with whistling, because, to be honest, my whistling is a kind of deviant behavior."
Wir brauchen keine Revolution der Angestellten.,We don't need a workers' revolution.
Vielen Dank.,Thank you.
"Obwohl wir die Grundlagen erfolgreicher Systeme kennen, wissen wir noch nicht, wie wir uns verbessern.","Now, knowing what successful systems are doing doesn't yet tell us how to improve."
Aber trotzdem sehen wir uns die Teile an.,"But still, we look at the pieces."
Das ist irgendwie unprofessionell und schlecht.,That's somehow unprofessional and bad.
"Wir sind traurig, wir haben schlechte Ausbildung, und wir haben die schwächsten Unternehmen.","We're unhappy, we have bad education, and we have the worst businesses."
"Und jetzt nun ja, jetzt stehe ich hier in Rotterdam, einer wunderschönen Stadt, auf einer großen Bühne, und erzähle Ihnen was über Pfeifen.","So what happened now is I'm standing here in Rotterdam, in the beautiful city, on a big stage, and I'm talking about whistling."
"Wir allen stimmen zu, dass Bildung wichtig ist.",Everybody agrees that education is important.
Früher ging es um Standardisierung und Einhaltung von Vorschriften.,The goal of the past was standardization and compliance.
Sie kommen bis ans U-Boot heran – sie kommen mit den Augen ans Fenster und gucken ins U-Boot.,They come right up to the submarine -- they'll put their eyes right up to the window and peek inside the sub.
"Oder ist es gar nicht? Ist es autokratisch, beaufsichtigend, einschränkend und misstrauisch und ohne Erfüllung?","Or is it crap? Is it autocratic, controlling, restrictive and untrusting and unfulfilling?"
"Schlagzeilen, die aussehen wie diese, wenn sie mit dem Klimawandel zu tun haben und Schlagzeilen, die aussehen wie diese wenn sie mit Luftqualität und Smog zu tun haben.","Headlines that look like this when they have to do with climate change, and headlines that look like this when they have to do with air quality or smog."
"Als ich dann etwa drei Jahre später aus dem Krankenhaus entlassen wurde, habe ich angefangen, an der Universität zu studieren","And about three years later, when I left the hospital, I started studying at the university."
"Dies ist eine vierte Möglichkeit, die Sie schon bald haben werden.",This is a fourth alternative that you are soon going to have.
"Es ist mir egal, wann du morgens kommst. Es ist mir egal, wann du nach Hause gehst.",I don't care when you get in in the morning. I don't care when you leave.
"In letzter Zeit sahen die Schlagzeilen so aus, wenn das multiregierungs-Panel für Klimawandel, oder IPCC, ihren Bericht über die Lage des Verständnisses des atmosphärischen Systems veröffentlichte.","Recently the headlines looked like this when the Intergovernmental Panel on Climate Change, or IPCC, put out their report on the state of understanding of the atmospheric system."
"Weil wir es nicht allein schaffen können. Wir sollen es zusammen machen. Und falls wir das machen, und die Ideen von Spielen teilen, können wir Bulgarien zu etwas Besseren umwandeln.","Because we can't do it alone. We have to do it together, and together, if we do this and share these ideas on play, we can transform Bulgaria for the better."
"Auf welchem Platz sind wir, vor drei Wochen nach einem anderen Bericht von OECD?",Where do we rank three weeks ago in another report by the OECD?
"Wir hätten niemals die Zeit, Ihnen all unser Archivmaterial von den Weichtieren zu zeigen.",We couldn't begin to show you our archival stuff from the jellies.
Damit umzugehen lernen.,Learn to manage it.
"Es gab bisher drei Möglichkeiten das Gehirn zu beeinflussen: das Sofa eines Therapeuten, Tabletten oder das Messer.","There have been three ways to try to impact the brain: the therapist's couch, pills and the knife."
"Sie beobachten ihre eigene Gehirnregung und sie programmieren die Gehirnbahn, die ihren Schmerz verursacht.","They're watching their own brain activation, and they're controlling the pathway that produces their pain."
"Das ist also alles Wasser unter dem Meer – zwei, drei, vier Kilometer in der Tiefe.","So that's all water under the sea -- a mile and a half, two miles, three miles down."
Wie wird das erreicht?,And how do they do that?
Mittagessen ist wie Urlaub von der Arbeit.,Lunch is like the recess for work.
"Und jeder von diesen Wissenschaftlern ist in einer Forschungsgruppe, und jede Forschungsgruppe befasst sich mit einer Vielzahl von Themen.","And every one of those scientists is in a research group, and every research group studies a wide variety of topics."
"Und gibt uns Gefühl von Zweck und Meistersein -- zwei wesentliche motivierende Dinge, die unsere Leistungsfähigkeit verstärkern, durch Spielen.","It provides a sense of purpose and mastery -- two key motivational things that increase productivity, through play."
"Und das ist auch so wenn alle wissen, dass kleine Unternehmen den Motor der Wirtschaft sind.",And this is despite the fact that everybody knows that small business is the engine of economies.
"Zuerst, Sie sollen mir glauben.","First of all, you have to believe me."
Damit finden sie die hydrothermalen Quellen.,It's how they find the hydrothermal vents.
Und ich hätte mein Gesicht verloren.,And I would have lost my face.
"Sie denken sich jetzt: ""Häh, von wem spricht der?""","You say, ""Huh, what do you mean?"""
"Und dieses Flugzeug, das Modell BA146 was von FAAM betrieben wurde, fliegt normalerweise mit 120 bis 130 Personen.","And this plane, the model, BA146, which was run by FAAM, normally flies 120 to 130 people."
"Man hört von Riesenkalmaren und so etwas, aber einige dieser Tiere werden bis zu etwa 50 Meter lang.","You hear about giant squid and things like that, but some of these animals get up to be approximately 140, 160 feet long."
Und ich hab 2004 auch an der Weltmeisterschaft teilgenommen und gewonnen.,"And I also entered the world championship, and I won there in 2004."
Die meisten Leute betrogen und stahlen nur ein wenig.,We got a lot of people cheating by stealing by a little bit.
"Das ist das erste Mal, dass wir das je irgendwo ausprobiert haben.",This is the first time we've ever tried this any place.
Und wir machen Dutzende von Integrationen um zu verstehen was vor sich geht.,And we perform dozens of integrations in order to understand what's happening.
"Da sind wir auf letztem Platz nicht nur in E.U., aber auch im ganz Europa - auf dem letzten Platz.","And there we are, not just last in the E.U., we're last in Europe, at the very bottom."
"Und dieser Punkt gab mir zu denken: Sind Krankenschwestern die einzigen auf der Welt, die sich in diesem Punkt täuschen, oder ist die Fehleinschätzung weiter verbreitet?","And from that point on I started thinking, are the nurses the only people in the world who get things wrong in this particular decision, or is it a more general case?"
Es ist ein lichtempfindliches Organ.,It's actually a light-sensing organ.
Ich werde konstruktive Kritik fördern.,I'm going to encourage constructive criticism.
"Damals mussten wir dazu einen Kinosaal mieten, den Film finden und die Entwicklung und den Vorführer bezahlen.","Technology then meant we had to hire a viewing cinema, find and pay for the print and the projectionist."
"Mit der PISA-Studie versuchen wir dies nun zu ändern, indem wir das Wissen und die Fähigkeiten der jungen Leute direkt messen.","So with PISA, we try to change this by measuring the knowledge and skills of people directly."
"Ich werde dich lassen, die Autoritäten herauszufordern.",I'm going to let you challenge authority.
Man könnte in den Arterien angegriffen werden von weißen Blutkörperchen.,You could be attacked by white blood cells in the arteries.
"So ich glaube es soll sehr klar zu sein, dass unser System kaputt ist.","So I think it should be really, really clear that our system is broken."
"Seine Künstler erzählten Geschichten über Ländergrenzen hinweg in so vielen Sprachen, Genres und Philosophien, wie man sich nur vorstellen kann.","Its artists told stories across national boundaries, in as many languages, genres and philosophies as one can imagine."
In den 60ern also waren die USA an erster Stelle.,"So in the '60s, the U.S. was first."
Wie kann sich Korea dies alles leisten?,How can Korea afford all of this?
Viele Veränderungen.,A lot of change.
Hier brillieren Bills Kameras richtig.,Here's where Bill's cameras really do shine.
Das Kino ist wohl die einflussreichste Kunstform des 20. Jahrhunderts.,Cinema is arguably the 20th century's most influential art form.
Wir biegen um eine Klippe hier rechts.,We're coming around a cliff here on the right.
"Es wäre auch besser gewesen, mit meinem Gesicht anzufangen, weil es da sehr weh getan hat, und sich zu meinen Beinen vorzuarbeiten damit der Schmerz im Laufe der Zeit geringer wird -- auch das wäre weniger schmerzhaft gewesen.","It turns out it would have been better to start with my face, which was much more painful, and move toward my legs, giving me a trend of improvement over time -- that would have been also less painful."
"Bevor Sie aber Ihr Gewehr justieren, oder anfangen zu singen, oder Ihre Lieblingsfarbe auswählen, will ich Revolution definieren.","Now before you get up in arms, or you break into song, or you pick a favorite color, I want to define what I mean by revolution."
"Wir hatten keine Ahnung von diesen Dingern, die wir Schornsteine nennen.","We didn't have any idea about these things, which we call chimneys."
Sie schrieben fast tausend Seiten über das Thema.,They wrote almost a thousand pages on the topic.
In der Vergangenheit ging es um die Weitergabe von Wissen.,The past was about delivered wisdom in education.
Man hat die Herausforderung angenommen und etwas unternommen.,"People have taken up the challenge, done something about it."
"Spielen verstärkt Leistungsfähigkeit, es verschlechtert sie nicht.","Play increases productivity, not decreases."
"Und eines der Moleküle das ich studiere heißt Isopren, was hier ist. Es ist ein kleines, organisches Molekül. Sie haben wahrscheinlich noch nie davon gehört.","And one of the molecules I study is called isoprene, which is here. It's a small organic molecule. You've probably never heard of it."
"Als ich in dieser Firma zu arbeiten anfing, gab es keine zufriedene Kunden.","When I got there, we had zero happy customers."
Gute Bildungssysteme teilen die gleichen klaren und ehrgeizigen Standards im gesamten Spektrum.,High-performing systems also share clear and ambitious standards across the entire spectrum.
"Mit der PISA-Studie wollten wir erfassen, wie diese Gleichheit, die dafür sorgt, dass Schüler aus verschiedenem Umfeld die gleichen Chancen haben, in der Realität aussieht.","With PISA, we wanted to measure how they actually deliver equity, in terms of ensuring that people from different social backgrounds have equal chances."
"Entschudligung, ich habe da was vergessen:",Sorry. I forgot one thing.
"stecken Sie die Schnipsel in Ihre Tasche und sagen Sie mir wie viele Fragen Sie richtig beantwortet haben.""","Put the little pieces in your pocket or in your backpack, and tell me how many questions you got correctly."""
Leute stellen sich das sehr kompliziert vor.,People envision this as being very difficult.
