src,trg
Ein junger Mann sitzt auf einem Stuhl und hat einen Schuh ausgezogen.,A young man sits on a chair with one shoe off.
Eine blonde Frau bedeckt ihren Mund und ein Mann in schwarzem Hemd macht Zeichen mit den Händen.,A blond-haired woman covers her mouth as a man in a black shirt motions with his hands.
Mädchen und Junge spielen Tennis.,"Girl and a boy, playing tennis."
Menschen laufen Rennen und der Mann in Grau führt.,People running a race and the guy in gray is in the lead.
Ein Mann und eine Frau stehen in einem Wald.,A man and a woman are standing in a forest.
Zwei Männer in schwarzen Hemden spielen in einem Raum auf elektrischen Instrumenten.,Two men in black shirts playing electric instruments in a room.
Eine Person auf einem Fahrrad fährt über eine erhöhte Plattform.,A person riding a bicycle going over a raised platform.
Eine Frau sitzt auf einem Stuhl aus einer Reihe grüner Stühle und hält ein Mikrofon.,A woman sitting on one of a row of green chairs is holding a microphone.
"Ein Mann und ein Junge beobachten einen Hund, der hochspringt, um einen Ball zu fangen.",A man and a boy watch a dog leap to catch a ball.
Eine Frau mit langem Pferdeschwanz und ein Mann mit kurzem Haar lachen beim Nachtisch.,A woman with a long ponytail and a man with short hair enjoy a laugh while eating dessert.
Sitzender Straßenmusiker in schwarzem Trikot spielt Blasinstrument und niemand hört oder sieht zu.,Seated street musician in black derby plays wind instrument with no one listening or watching.
Ein Mann trägt Tüten mit Gemüse in einer Hand und ein Tablett mit Gemüse in der anderen.,A man carrying bags of vegetables in one hand and a tray of vegetables in the other.
"Aufpasser bei einem Konzert, Frau in rotem Kleid auf der Bühne.","Guards at a concert, woman in red dress on stage."
Das Kind fährt auf einem Fahrzeug einen geschlossenen Pfad neben einem Strandbereich entlang.,The child is riding a vehicle along a gated path next to a beach area.
Ein Mann steht an seinem Londoner Touristenstand.,A guy stands at his london tourist stand.
Der Junge im roten Trikot rennt mit dem Football.,The boy in the red jersey runs with the football.
Frau spielt Bass.,Woman that is playing a bass.
Ein Läufer in Schwarz kommt an einem Blumenladen im Freien vorbei.,A runner in black is passing an outdoor florist shop.
Junge Frauen versammeln sich zu einer kleinen Feier.,Young women gather for a small party.
Mehrere Menschen sind in einer Küche um eine Insel versammelt und essen.,Several people gathered in a kitchen around an island eating.
Ein Snowboardfahrer in der Luft macht ein Kunststück.,A snowboarder is in midair doing a trick.
Viele Frauen in bunten Saris betreten ein steinernes Gebäude.,Many women in colorful saris are entering a stone building.
Zwei gleich aussehende große braune Hunde ringen.,Two big brow dogs who look alike wrestle.
Ein Arbeiter in kompletter Schutzausrüstung sitzt und schweißt Metall.,A worker welding some metal wearing full protective gear while he is sitting down
"Ein Cowboy mit weißem Hut schafft es nicht, bei einem Rodeo ein Kalb zu fangen,",A cowboy with a white hat fails to wrangle a calf at a rodeo.
"Drei Kinder spielen an der Küste, im Hintergrund hat eine Fähre angelegt.",Three children are playing on the shoreline with a ferry docked in the background.
Ein kleines Kind hüpft in einem Blätterhaufen.,A young child jumping in a pile of leaves
"Zwei Frauen und ein Mann stehen neben einem Picknicktisch, der mit Essen und Wasser bedeckt ist.",Two women and a man are standing next to a picnic table covered in food and water.
Zwei Männer schreiben an einem steinigen Strand im Sand.,Two men writing in the sand on a rocky beach.
"Ein Mann lächelt, als er auf einen orangefarbenen Sportwagen herunterschaut, der an einem Randstein geparkt ist.",A man smiles as he looks down at an orange sports car that's parked at a curb.
Ein Mann in grünem Hemd fängt in einer Rodeo-Arena ein Kalb ein.,A man in a green shirt roping a calf in a rodeo arena.
Eine Löwin jagt ein schwarzes Bison über eine grasbewachsene Ebene.,A lioness is chasing a black bison across a grassy plain.
Ein Football-Spieler rennt mit einem Football an einem Schiedsrichter vorbei.,A football player runs past an official carrying a football.
"Ein älterer Mann, Pilot eines Flugzeugs, lächelt.","An older man, who is pilot of a plane, is smiling."
Ein Boot wendet auf einem offenen Fluss nach rechts.,A boat turns right in an open river.
Ein blonder Mensch steht mit ausgestreckten Armen vor einem Gebäude.,A blond person stands in front of a building with outstretched arms.
Ein Junge macht ein Kunststück mit einem Skateboard.,A boy does a skateboard trick.
Ein kleiner Junge vollführt in einem Skate-Park Kunststücke mit einem Skateboard.,A young boy is performing tricks with a skateboard at a skate park.
Männer spielen vor einem Gebäude Saxofon.,Men play saxaphones outside a building.
Ein Mann macht einen als Ollie bekannten Skateboard-Trick über einer Treppe.,"A man is doing a skateboarding trick, known as the ollie, over a staircase."
Ein brauner Hund ist im grünen Gras.,A brown dog is on the green grass.
Zwei Jungen in blauen Hemden kämpfen hinter einem grauen Auto und zwei anderen Kindern.,Two boys in blue shirts fighting behind a gray car and two other children.
Drei Frauen springen nach dem Ende eines Straßenrennens fröhlich in die Luft.,Three women jump happily after finishing a road race.
Ein Snowboardfahrer schießt über weißem Schnee in die Luft.,A snowboarder launches into the air over white snow
Zwei Männer spielen auf einer Wiese Fußball.,Two men are playing soccer on a grassy field.
Eine Rockband spieltauf einer Zune-Bühne und viele Menschen schauen zu.,A rock band plays on a Zune stage while many people watch.
Eine Band spielt im Freien vor einem Zune-Gebäude.,A band playing outside a Zune building.
"Kids warten im Park, um die große aufblasbare Aktivität auszuprobieren.",Kids are in the park waiting to try the big blow up activity.
Als Weihnachtsmann verkleidete Menschen in einem Club mit grünen Ballons.,People dressed as Santa in a club with green balloons.
Ein Junge auf einem „Thomas the Tank Engine“-Roller une ein Mädchen auf einem pinkfarbenen Roller fahren auf dem Gehsteig.,A boy riding a Thomas the Tank Engine scooter and a girl riding a pink scooter are on the sidewalk.
Der Läufer hat für das Rennen Batman-Laufkleidung angezogen.,The runner dons a batman uniform for the race
"Ein Torhüter in roter Spielkleidung kickt den Fußball, um das Tor zu verteidigen.",A goalie in a red uniform kicks at the soccer ball to protect the goal.
Ein Radfahrer springt mit seinem Fahrrad über eine Barriere.,A bicycler jumping over a barrier with his bike.
"Ein älterer Mann sieht in einer herbstlichen Umgebung zu einem jüngeren Mann herüber, der eine Axt schwingt und Holz hackt.",An older man looks over a younger man wielding an ax chopping wood in a fall setting.
Zwei Eishockeyspieler kämpfen auf dem Eis.,Two hockey players compete on the ice.
Ein kleiner Junge versucht einen Radschlag.,A little boy is attempting to do a cartwheel.
Surfer auf einer riesigen Welle im Meer bei Sonnenuntergang.,Surfers on a huge ocean wave at sunset.
"Ein Hund schüttelt sich Wasser aus dem Fell, nachdem er im Wasser mit einer Frisbee gespielt hat.",A dog shaking off water after playing in the water with a Frisbee.
"Ein kleines Mädchen schaukelt, hinter ihm steht eine Frau.","A little girl swings, a woman stands behind her."
"Eine Person in einem großen pinkfarbenen, dreieckigen Kostüm winkt und ein Mann und eine Frau in farblich abgestimmten, knallbunten gestreiften und gepunkteten Outfits lächeln zurück.",A person in a large pink triangle-shaped costume waves as a man and a woman dressed in matching brightly-colored striped and polka-dotted outfits smile back.
Ein Mann und eine Frau küssen sich vor einer weißen Statue.,A man and woman kissing in front of a white statue
Ein blondes Mädchen in schwarzem Umhang steht neben anderen Kindern in Kostümen.,A blond girl in a black cape stands with other children in costumes.
Ein Mann mit Brille und grüner Mütze schläft in der U-Bahn ein.,A man with glasses and a green beanie falling asleep on the subway.
Zwei kleine weiße Hunde mit Maulkörben springen über einen kleinen Gegenstand.,Two small white dogs wearing muzzles jumping over a small item.
"Ein Süßigkeitenverkäufer steht in der Sonne, während andere unter Schirmen im Schatten sitzen.",A treat vendor is standing in the sun while others sit in the shade under umbrellas.
Ein Mann spielt Gitarre und singt in ein Mikrofon.,A man plays guitar and sings into a microphone.
Rennautos nachts im Regen.,Race cars at night in the rain.
Eine Gruppe von Menschen genießt eine Fahrt im Heißluftballon.,A group of people enjoying a hot air balloon ride.
Gruppe stellt sich auf für einen Kampfsport-Kampf.,Group sets up for martial arts fight.
Ein Surfer reitet auf einem blauen Brett auf einer großen Welle.,A surfer rides a large wave on a blue board.
Eine Dame und ein Kind in einem Erdbeer-Fahrgeschäft.,A lady and a kid in a strawberry ride
Ein Mann in blauem Hemd macht eine Pause vom Graben im Fluss.,A man in a blue shirt takes a break from digging in a river.
Drei Menschen spielen in einem Stück.,Three people acting in a play.
Eine Gruppe von Menschen mit Kindern treten auf einer Bühne auf.,A group of people with children are performing on a stage.
Ein Mensch auf dem Fahrrad in der Luft.,A person in the air on a bike.
Ein einzelner Kletterer klettert eine Felswand hoch.,A lone rock climber climbing a rock wall
Deutscher Schäferhund springt durch schwarzen Reifen und Leute schauen zu.,German Shepherd jumping through black hoop while people watch
Ein kleines Mädchen sitzt auf einem Stuhl und bläst einen riesigen gelben Ballon auf.,A little girl sitting on a chair is blowing up a giant yellow balloon.
Ein Mann in einem Vegas-Shirt hat einen offenen Koffer hinter sich.,A man wearing a Vegas shirt has an open suitcase beside him.
"Ein Arbeiter, der erhöht auf einer Maschine steht, versucht eine Stange neben einem Fenster zu reparieren.","A worker, elevated on a piece of equipment, is trying to repair a pole near a window."
Zwei junge Männer springen ausgelassen auf einem Platz im Freien.,Two young men are leaping exuberantly on an outdoor plaza.
Vier Männer in orangefarbenen Westen sind auf einer Baustelle.,Four men wearing orange vests are at a construction site.
Zwei Arbeiter gehen auf einer Baustelle herum.,Two workers are walking around a construction site.
Ein Mann in einem Sweatshirt und mit Mütze schaut über eine Brücke an einem See.,A man in a sweatshirt with a hat is looking over a bridge at a lake.
Ein Baby zieht die Katze am Schwanz.,A baby is pulling the cat by the tail.
Ein blonder kleiner Junge mit grün-blauen Shorts gräbt ein Loch in den nassen Sand.,A blond little boy with green and blue shorts is digging a hole in wet sand.
Drei Hunde spielen im Gras neben den Geräten auf dem Spielplatz.,Three dogs play in the grass near the playground equipment.
Frauen auf den Feldern arbeiten auf einem Hof und pflanzen Reissamen.,Women in the fields working in a farm planting rice seeds.
Ein alter Mann schaut nachdenklich von seinem Balkon.,An old man looking pensive as he stares off his balcony.
"Eine Menschenmenge wartet, zum Einstieg bereit, vor einer U-Bahn.","A crowd waits outside a subway train, ready to board."
Eine Person macht mit einem Fahrrad ein Kunststück über einer Holzrampe.,A person doing a bicycle trick over a wooden ramp.
"Eine Frau in einem roten Kleid steht neben einem Mädchen, das auf Wasser schaut.",A woman in a red dress is standing next to a girl looking at water.
Ein Hund rennt über das Gras.,A dog runs across the grass.
Ein Football-Spieler hält einen Football bei einem Spiel im Schlamm.,A football player folding a football during a game in the mud
Eine Gruppe von Menschen mit Kopfbedeckungen versammelt sich mit großen Taschen.,A group of people wearing hats are gathering with big bags.
"Ein Fußballspieler in einem blauen Trikot mit Samsung-Werbung stolpert über einen anderen, fallenden Fußballspieler in einem roten Trikot.","One soccer player wearing a blue, Samsung sponsored jersey is stumbling over another falling soccer player wearing a red jersey."
Der Surfer ist auf der Welle.,The surfer is in the wave.
Eine Menschenmenge geht kurz nachdem es geregnet hat über einen Gehsteig.,A crowd walks on a sidewalk shortly after it has rained.
Eine Frau mittleren Alters in modischer Kleidung hält eine Kamera.,"A middle-aged woman in stylish clothes, holding a camera."
Ein Mann steht im Freien vor einem Feld mit einem großen gelben Sack über der Schulter.,A man standing outside in front of a field with a big yellow sack on his shoulder.
Eine Frau spricht an einem kalten Abend in ein Megafon.,A woman speaks into a bullhorn on a cold night.
"Menschen warten in einer Schlange unter Straßenlaternen darauf, in einen Doppeldeckerbus einzusteigen.",People wait in line to board a double decker bus under streetlights
Ein kleiner Junge spielt am Strand mit Sand.,A little boy is playing with sand at the beach.
Jungen machen Skateboard-Manöver und im Hintergrund ist eine amerikanische Flagge.,Boys do skateboarding maneuvers with an American flag in the background.
Ein Mann und eine Frau küssen sich und machen ein Foto von sich.,A man and woman are kissing and taking a picture of themselves.
Ein Mann sitzt vor einem großen Wandbild.,A man sits at a table in front of a large mural.
Ein Mann sitzt in einer U-Bahn.,A man sitting on a subway.
"Mehrere Menschen, darunter ein kleines Mädchen mit pinkfarbenem Oberteil und Shorts, warten an einer Bushaltestelle.","Several people, including a young girl with a pink top and shorts, waiting at a bus stop."
Ein Junge in grünen Shorts rennt im Sand.,A boy in a green short is running in the sand.
Ein KInd läuft und schiebt sein Spielzeug.,A kid is walking and he is pushing his toy
Junge und weißer Hund rennen auf der Wiese.,Boy and white dog running in grassy field
Eine Frau sitzt an einem Schreibtisch und schreibt auf einem Computer.,A woman sits at a desk and types on a computer.
Zwei Geländemotorradfahrer in der Luft.,Two dirt bike riders in midair.
Männer in einem Pulk bei einem Radrennen.,Men in a cluster during a bike race
Der braune deutsche Schäferhund spielt mit einem Stock.,The brown German shepherd dog is playing with a stick.
Eine Frau mit einem Täschchen in der Hand steht am Rand eines Felsvorsprunges und schaut auf die Bäume.,A woman holding a purse stands at the edge of a rocky ledge and looks out at the trees.
Ein Paar geht zusammen am Strand entlang und erinnert sich wahrscheinlich an schöne Momente.,A couple walking the beach together probably remembering good times.
"Ein Werfer und ein Fänger feiern, dass sie einen anderen Baseballspieler bei einem Profispiel mit einem Strikeout hinausbefördert haben.",A pitcher and catcher celebrate striking another baseball player out in a pro game.
Fünf Menschen sitzen um einen Tisch und schauen Papiere durch.,Five people sitting around a table looking over some papers.
"Eine große Menschenmenge versammelt sich in einem großen Gebäude, einige haben die Hände in der Luft.","A large crowd of people, some with their hands in the air, gather in a large building."
Die fünf Menschen stehen unter drei hellbraunen Bögen.,The five people are standing under three tan arches.
"Zwei Frauen umarmen sich, eine dritte steigt aus dem Auto aus.",Two women hug while a third gets out of the car.
Drei chinesische Frauen diskutieren über etwas.,Three Chinese women are discussing something.
Zwei Frauen überqueren eine Brücke über einem schmalen Wasserweg.,Two women are crossing a bridge over a narrow waterway.
Ein als Clown verkleideter Mann fährt bei einem Rennen Fahrrad.,A man dressed as a clown riding a bicycle in a race.
Ein kleiner Junge in einem Overall rutscht eine orangefarbene Rutsche hinunter.,A toddler boy in overalls sliding down an orange slide
Eine Menge Leute amüsiert sich bei einem Konzert.,Lots of people are enjoying a concert.
Eine Gruppe von Menschen steht an einer Wand und wartet auf etwas.,A group of people are standing along a wall waiting for something.
Ein Mann hält neben einer Flagge die Hand in die Höhe.,A man is holding up his hand by a flag.
Ein Baby stapelt neben seinem Laufstall fröhlich Legosteine.,A baby happily stacks his Legos near his playpen.
Die weiße Ente schwimmt neben einem schwarzen Hund.,The white duck is swimming with a black dog
Soldaten verhaften einen Mann auf offener Straße.,Military arrest a man in the middle of the street.
"Mann sammelt Stroh, um Hütten zu bauen.",Male gathering straw to make huts.
"Zwei Damen mit Hüten und ein Mann, der einen Kinderwagen schiebt, kommen an einer Spa-Einrichtung vorbei.",Two ladies wearing hats and a man pushing a stroller were passing a spa treatment facility.
Ein Mann macht die Radfahr-Übung auf einer Bank in einem öffentlichen Bereich.,A man doing the bicycle on a public area bench.
Ein Mann springt auf einem orangefarbenen Geländemotorrad über einen Felsen.,A man is jumping a rock on an orange dirt bike.
Drei Musiker sitzen auf Stühlen und spielen auf ihren jeweiligen Instrumenten.,"Three musicians are seated on chairs, playing their respective instruments."
Ein kleiner Junge im blauen Kapuzenpulli dreht den Handgriff einer kurbelbetriebenen Maschine.,A little boy in a blue hoodie is spinning the handle of a crank operated machine.
Tennisspieler sind beim Gespräch auf dem Court zu sehen.,Tennis players are seen conversing on the court.
Ein Mädchen in einem Halloween-Kostüm trägt eine Tüte mit Süßigkeiten und eine Sense und im Hintergrund ist ein Halloween-Kürbis auf einer Veranda.,A girl dressed in a Halloween costume is carrying bag of candy and a scythe with a jack-o-lantern on someones porch in the background.
Ein Mann in einem Flanellhemd meißelt einen Stein.,A man in a flannel shirt is chiseling a rock.
Ein violett gekleidetes Kind und ein schwarz gekleideter Erwachsener.,A child dressed in purple and an adult dressed in black.
Ein Mädchen macht neben einer Frau einen Fußtritt.,A girl doing a kick near a woman.
Eine blonde Frau mittleren Alters dirigiert einen Gegenstand auf einen Transportwagen.,A middle-aged blond woman is directing an object onto a trolley.
Ein Snowboardfahrer grindet über ein Geländer.,A snowboarder grinding down a side rail.
Ein kleiner Junge mit blondem Haar posiert auf einem Ast und lächelt.,A young boy with blond-hair smiling while posing on a tree branch.
Fünf Jungen spielen im Freien in einem umzäunten Hinterhof.,Five boys playing outside in a fenced-in backyard.
Auf dieser Party sind alle als Zombie verkleidet.,Everybody is dressed as a zombie at this party.
Zwei Mädchen in roten Kostümen spielen zusammen.,Two girls in red costumes play together.
Mann in Polizisten-Kostüm neben einem Mann im Zombie-Kostüm.,Man in a police costume next to a man in a zombie costume.
Mann und Frauen in Halloween-Kostümen unterhalten sich.,Man and women in a halloween costume having a conversation
Ein grüner Karren parkt unter einem Baum in einem schattigen Bereich.,A green pull wagon is parked under a tree in a shaded area.
Ein Mann auf einem Motorrad in der Luft.,A man on a motorbike in midair
Eine Gruppe von Leuten mittleren Alters mit Laptops und Notebooks schenken etwas Aufmerksamkeit.,A group of middle-aged people with laptops and notebooks are paying attention to something.
Ein Mann fährt auf Rollerblades über eine Metallstange.,A man rollerblading on a metal bar.
Zwei gegnerische männliche Spieler jagen den Ball beim Feldhockey.,Two opposing male players are chasing the ball in field hockey.
"Zwei Musiker tragen Lautsprecher, Gitarren und Musikausrüstung.","Two musicians are carrying speakers, guitars, and musical equipment."
Eine Gruppe von Amish steht vor einer Kirche.,A group of Amish people are standing outside of a church.
Mann mit Maske hebt die Hand.,Man with mask on raises hand.
Eine Frau badet ein Baby in einer speziellen Baby-Badewanne.,A woman giving a baby a bath in a specialized baby bather.
Zwei Männer spielen Basketball.,Two men play basketball.
"Ein Basketballspieler hält Ausschau nach jemandem, dem er den Ball zuspielen kann.",A basketball player looks for someone to pass the ball to.
Der Basketballspieler in Blau versucht dem Spieler in Orange den Ball abzunehmen.,The basketball player in blue is challenging the player in orange for the ball.
"Ein Mann in einem Ozzy-T-Shirt schaut sein Frühstück an, das aus pochiertem Ei und Toast mit Kaffee besteht.",A man in an Ozzy t-shirt looks at his breakfast of poached eggs and toast with coffee on the side.
Zwei Männer mit kurzen Haaren arbeiten.,Two men with short hair are working.
Eine große Gruppe von Menschen demonstriert an einer Straßenecke.,A large group of people are protesting something on a street-corner.
Ein Paar in seltsamen Kostümen.,A couple dressed in odd costumes.
Ein weißer Hund mit einem roten Halsband springt aus dem Gras hoch.,A white dog wearing a red collar is jumping up from the grass.
Zwei Männer aus gegnerischen Mannschaften spielen Basketball.,Two men from opposite teams playing basketball.
Ein Mann in Miami-Basketball-Spielkleidung schaut nach rechts.,A man in a Miami basketball uniform looking to the right
Eine weiße Frau schaut am hellichten Tag aus ihrem Fenster.,A white woman looking outside her window in broad daylight.
Ein kleines Mädchen bürstet mit einer weißen Bürste die Haare eines älteren Mädchens.,A small girl brushing an older girls hair with a white brush.
Ein kleines Mädchen sieht eine Zeitung durch.,A little girl looking through a newspaper.
Ein Mann hebt schwere Steine hoch und stapelt sie übereinander.,A man is lifting heavy rocks and stacking them on top of one another.
"Blick durch die Windschutzscheibe eines Autos auf einen Hund, der die Straße überquert.",Looking through a vehicle's windshield at a dog crossing the road.
Ein Mann in Karohemd schlägt einen Baum mit einer Axt.,A man in plaid shirt hits a tree with an Axe.
Ein Baseballspieler schwingt einen Baseballschläger.,A baseball player swinging a bat
Eine Gruppe junger Männer sitzt auf Felsen und schaut in die Ferne.,A group of young men sit on rock and look in the distance.
Ein Mann steht vor einer großen Menschenmenge an einem Mikrofon.,A man standing at a microphone in front of a large crowd.
"Eine junge Dame wird von einem Mann getröstet, nachdem sie etwas Trauriges gesehen hat und weinen musste.",A young lady being comforted by a man after she has seen something sad and it has made her cry.
"Mann und Frau stehen nah beieinander, ein anderer Mann schaut zu ihnen.",Man and woman standing close together while another man watches.
Eine Frau steht mitten auf einem Ziegelsteinweg.,A woman stamds in the middle of a brick road.
"Ein Computerlabor in einer Schule, fünf Menschen im Bild.","A computer lab in a school, five people pictured."
Ein kleiner Junge schläft in eine weiße Decke gewickelt auf einer gestreiften Couch.,A little boy sleeping on a striped couch while wrapped in a white blanket.
Soldaten waschen Pfannen in roten Wannen.,Soldiers are washing pans in red tubs.
Ein Mann in orangefarbenem Hemd und blauem Helm fährt auf seinem Fahrrad Rennen.,A man in an orange shirt and blue helmet races his bike.
Mehrere Reiter tragen Flaggen und reiten aneinander vorbei.,Several horsemen are riding past each other carrying flags.
Ältere Frau in gelber Jacke hält in einem städtischen Gebiet ein Schild mit der Aufschrift „DOWN AND OUT“.,"Older woman in yellow jacket, holds sign saying ""DOWN AND OUT"" in urban area."
Mann in gestreiftem Hemd steht neben seinem Motorrad.,Man with striped shirt on standing next to his motorcycle.
"Ein Mann in blauem Mantel führt ein kleines weißes Tier aus, im Hintergrund fährt ein Bus vorbei.",A man in a blue coat walks a small white animal as a buss passes in the background.
Soldaten lernen mit ihren Gewehren zu schießen.,Military personnel learning how to shoot their rifles.
Radfahrer tragen ihre Fahrräder einen steilen grasbewachsenen Hügel hinauf.,Cyclists are carrying their bicycles up a steep grassy hill.
Mann mittleren Alters mit Glatzenansatz schaut auf zwei Computerbildschirme.,Middle-aged balding man sitting looking at two computer monitors.
Ein Mädchen in orangefarbenem Hemd zündet Kerzen an.,A girl in an orange shirt lights candles.
Junge und Mädchen küssen sich am Bahnhof.,Guy and girl kiss at train station.
Ein hellbrauner Hund sitzt im Schnee.,A tan dog is sitting in some snow
Zwei Hunde spielen miteinander im Laub.,Two dogs play with each other in the leaves.
Mehrere Menschen in einer Band hüpfen zur Musik auf und ab.,Several people in a band jumping up and down to the music.
Diese Band spielt auf einer Bühne.,This band is playing on a stage.
Mehrere Menschen marschieren und einer hält dabei eine Menorah.,Several people are marching and one is holding a menorah as he marches.
Eine Gruppe junger Männer in einem fremden Land wirft Steine.,A group of young men throwing rocks in a foreign country.
Ein Junge in einem blauen Neoprenanzug fährt auf einem blauen Surfbrett.,A boy wearing a blue wetsuit rides on a blue surfboard.
"Der Hund kehrt stolz mit dem Spielzeug zurück, das er gefangen hat.",The proud dog returns with the toy it fetched.
"Eine sehr belebte städtische Straße bei Nacht, auf der Radfahrer und Taxis fahren.",A very busy city street at night with bicyclists and taxis in the road.
Ein Mann in einer blauen Sportjacke und ein anderer in grünem Hemd schauen in die Kamera.,A man with a blue sports jacket and another with a green shirt are looking towards the camera.
Eine große Menschenmenge läuft auf einem offenen Lebensmittelmarkt.,A large crowd of people are walking in an open air food bazaar.
Ein sitzender Junge spielt Akkordeon.,A seated boy plays the accordion.
"Eine Frau isst etwas, das aussieht wie eine Muschel.",A woman is eating what appears to be a mussel.
"Eine Frau mit einem Hund geht im Freien eine Treppe hinunter, hinter ihr ist ein Bus.","A woman with a dog descends an outdoor staircase, a bus behind her."
Ein einarmiger Mann hält eine Trinkflasche und schwimmt in einem Schwimmbecken.,A one armed man swimming holding a drinking bottle in the pool.
Drei Frauen kochen in einer Küche.,3 women cooking in a kitchen.
Ein Mann spielt auf einer gelben Gitarre und eine Katze beobachtet ihn.,A man plays a yellow guitar while a cat watches him.
Mädchen laufen an einem sonnigen Tag auf der Straße.,Girls walking in the street on a sunny day.
Ein Chefkoch und seine beiden Souschefs bereiten in einem Restaurant ein Gericht zu.,A chef and his two sous chefs prepare a dish in a restaurant.
"Ein Hund leckt sich in einem Zimmer, in dem kein Essen in seiner Schüssel ist, die Lippen.",A dog licking his lips in a room with no food in its dish.
Vier Bauarbeiter arbeiten nachts in der Stadt am Wasser.,Four construction workers are working at night in the city by the water.
Ein Junge und ein Mädchen tanzen.,A boy and a girl dancing.
Mehrere kleine Jungen mit blauen Helmen und blau-roten Rettungswesten auf einem Floß.,Several young boys wearing blue helmets and blue and red life jackets on a raft
Ein Mann verbringt beim Wakeboarden viel Zeit in der Luft.,A man gets lots of air time as he wakeboards.
"Menschen bei einer Abstimmung, während Kinder hinter ihnen auf dem Boden sitzen und zuschauen.",People completing a ballot while children are sitting behind them on the floor watching.
Eine Frau winkt zwischen zwei Haufen mit getrocknetem Getreide.,A woman waving from between two piles of dried corn husk.
Ein kleines Mädchen spielt mit einem großen weißen Pudel in der Einfahrt neben einem Polizeiauto.,"A little girl is playing with a large, white poodle in the driveway next to a police car."
Ein Hund jagt einen pinkfarbenen Ball.,A dog chasing a pink ball.
"Eine ältere Frau trägt einen gestreiften Hut, Sonnenbrille, Schal und ein blaues Karohemd.","An elderly woman wearing a striped hat, sunglasses, scarf, and blue plaid shirt."
Eine Gruppe von Menschen macht aufgeregte Handbewegungen.,A group of people making excited expressions with their hands
Ein Mann mit Gips filmt mit einem Camcorder eine vergnügte Veranstaltung.,A man with a cast is using a camcorder to record an enjoyable event.
Eine junge Frauen trägt ein „Obama“-T-Shirt.,"A young women wears an ""Obama"" t-shirt."
"Eine Gruppe junger Frauen, eine ist hoch in der Luft:","A group of young women, one up in the air."
Menschen fahren auf ihren Fahrräder und kaufen spät nachts ein.,People riding their bikes and shopping late at night.
Eine Gruppe von Männern in Anzügen steht auf einer Bühne.,A group of men dressed in suits are standing on a stage.
Vier Fußballspieler spielen auf dem Pflaster.,Four soccer players play on the pavement.
"Zwei Frauen, von denen eine ein Instrument spielt und die andere tanzt, sind am Strand.","Two women, one playing an instrument and one dancing, are at the shore of a beach."
Ein Mann in Schwarz hält ein „Obama 08“-Schild hoch.,A man in black holds up an Obama 08 sign.
Ein Mann afrikanischer Abstammung trägt ein graues Hemd und eine silberne Kette.,An man of African heritage is wearing a gray shirt and silver neck chain.
Frau sitzt auf hoher weißer Mauer.,"Woman sitting on a tall, white wall."
"Männer und Frauen sind in einem unaufgeräumten Laden versammelt, in dem Kleider auf Ständern verteilt sind.","Men and women are gathered at a cluttered store, clothes hung on racks are scattered throughout"
Ein Hund kaut auf einem Stock.,A dog chews on a stick.
Eine Frau mit einem Schal um den Kopf läuft über einen hölzernen Uferweg.,A woman with a scarf on her head walks down a wooden boardwalk.
Ein Kleinkind sitzt am Fuß einer Rutsche und lächelt.,A toddler is sitting at the bottom of a slide and smiling.
Ein alter Mann macht ein Nickerchen in einer Rikscha.,An old man takes a nap in a rickshaw.
Durchschnittliche Alltagsmenschen gehen an einer Einrichtung vorbei.,"Average, everyday people walk by a facility."
Zwei Männer sitzen auf einem grasbewachsenen Hügel und tragen Fahrradhelme.,Two men are sitting on a grassy hillside wearing bike helmets.
Hockende Männer gucken durch eine Reihe von Männern in hellblauen und grauen Uniformen.,Crouching man peering through a row of light blue and gray uniformed men.
"Nahaufnahme eines Mannes, der mit einer Handfeuerwaffe in den Wald schießt.",A closeup of a man shooting a handgun into the woods.
"Die Dame wartet darauf, die Toiletten zu putzen.",The lady is waiting to clean the bathrooms.
Eine Frau in Stiefeln singt und spielt Keyboard auf einer erhöhten Bühne vor einem sitzenden Publikum.,A woman in boots sings and plays keyboards from an elevated stage to a seated crowd.
Eine Frau in einem Kleid spielt auf ihrer akustischen Gitarre.,A woman in a dress playing her acoustic guitar.
Ein Mann spricht über ein Mobiltelefon und hält ein Obama-Wahlkampfschild.,A man talks on a cellphone while holding an Obama campaign sign.
Ein Mann in einem Obama-T-Shirt hält eine Kaffeetasse.,A man wearing an Obama t-shirt and holding a coffee cup.
Ein Mann in grünem Hemd lehnt sich im Wohnzimmer eines Hauses in einem Sessel zurück.,A man in a green shirt reclines in a lounge chair in a living room of a house.
Ein kleines Rennauto mit Werbung fährt auf einer verregneten Rennstrecke.,A small race car with advertising is driving on a rainy track.
Mehrere Menschen zupfen auf einem städtischen Markt an Feldfrüchten.,Several people are picking through crops at an urban market.
Ein asiatisches Kind trägt Erzeugnisse in einem runden Korb eine sonnige Straße entlang.,An Asian child carries produce in a round basket down the sunny street.
Eine asiatische Frau steigt abends in einer Stadtmitte aus einem Taxi.,An Asian woman gets out of a taxi in the middle of town at night.
Menschen kreischen abends mit ausgestreckten Armen.,People yell with their arms streched at night.
Eine Gruppe von Männern und Frauen in Hochzeitskleidung.,A group of men and women are in wedding attire.
